study;country_coded
Arjadi, 2018;Indonesia
Baumeister, 2021;Germany
Berger, 2011;Switzerland
Carlbring, 2013;Sweden
Choi, 2012;Australia
Forsell, 2017;Sweden
Garcia, 2023;Spain
Johansson, 2012a;Sweden
Johansson, 2012b;Sweden
Johansson, 2019a;Sweden
Kenter, 2016;Netherlands
Kessler, 2009;United Kingdom
Kivi, 2014;Sweden
Lappalainen, 2015;Finland
Milgrom, 2016;Australia
Milgrom, 2021;Australia
Montero-Marin, 2016;Spain
Mueller-Weinitschke, 2023;Germany
Newby, 2017;Australia
Nyström, 2017;Sweden
Oehler, 2020;Germany
Perini, 2009;Australia
Pihlaja, 2020;Finland
Raevuori, 2021;Finland
Reins, 2019;Germany
Ritvo, 2021;Canada
Schlicker, 2020;Germany
Selmi, 1990;USA
Titov, 2010;Australia
Tonning, 2021;Denmark
Tulbure, 2018;Romania
Vernmark, 2010;Sweden
Wright, 2005;USA
Gaudiano, 2020;USA
Gili, 2020;Spain
Hur, 2018;South Korea
Krämer, 2022;Germany
Levin, 2011;USA
Lin, 2023;China
Lobner, 2018;Germany
Meyer, 2019;Germany
Mohr, 2013;USA
O'Moore, 2018;Australia
Rosso, 2017;USA
Sandoval, 2017;USA
Smith, 2017;Australia
Williams, 2013a;Australia
O'Mahen, 2014;United Kingdom
Weise, 2019;Germany
Alavi, 2020;Iran
Andersson, 2012;Sweden
Berger, 2017;Switzerland
Dahlin, 2016;Sweden
Jones, 2016;Canada
Lorian, 2012;Australia
Newman, 2020;USA
Paxling, 2011;Sweden
Robinson, 2010;Australia
Roy, 2021;USA
Titov, 2009;Australia
Titov 2010;Australia
Zainal, 2023;USA
Anderson, 2013;USA
Andersson, 2006;Sweden
Berger, 2009;Switzerland
Botella, 2010;Spain
Bouchard, 2017;Canada
Carlbring, 2007;Sweden
Clark, 2023;United Kingdom
Furmark, 2009;Sweden
Gallego, 2011;Netherlands
Ivanova, 2016;Sweden
Johansson, 2017;Sweden
Kählke, 2019;Germany
Kampmann, 2016;Netherlands
Kim, 2022;South Korea
Price, 2011;USA
Robillard, 2010 ;Canada
Schulz, 2016;Switzerland
Schwob, 2023;USA
Stolz, 2018;Switzerland
Thew, 2022;China
Titov, 2008a;Australia
Titov, 2008b;Australia
Titov, 2008c;Australia
Wang, 2020;China
Zainal, 2021;USA
Campos, 2019;Spain
Garcia-Palacios, 2002;Spain
Gujjar, 2019;Malaysia
Jiang, 2020;Australia
Krijn, 2004;Netherlands
Allen, 2016;Australia
Carlbring, 2006;Sweden
Carlbring, 2001;Sweden
Ciuca, 2018;Romania
Kenardy, 2003;Australia
Klein, 2006;Australia
Meyerbroeker, 2013;Netherlands
Oromendia, 2016;Spain
Richards, 2006;Australia
Ruwaard, 2010;Netherlands
Silfvernagel, 2012;Sweden
van Ballegooijen, 2013;Netherlands
Wims, 2010;Australia
Andersson,2012;Sweden
Greist,2002;USA
Hawley,2021;Canada
Kyrios,2018;Australia
Mahoney,2014;Australia
Matsumoto,2022;Japan
Vogel,2014;Norway
Wootton,2013;Australia
Wu,2023;China
Bernstein, 2017;USA
Chan, 2021;China
Cheng, 2019;USA
Dekker, 2020;Netherlands
Espie, 2012;United Kingdom
Espie, 2019;United Kingdom
Felder, 2020;USA
Gieselmann, 2019;Germany
Hagatun, 2019;Norway
Hall, 2022;USA
Horsch, 2017;Netherlands
Krieger, 2019;Switzerland
Kyle, 2020;United Kingdom
Lancee, 2012;Netherlands
Lancee, 2015;Netherlands
Lancee, 2016;Netherlands
Leerssen, 2022;Netherlands
Lorenz, 2019;Switzerland
Majd, 2020;Iran
Pillai, 2015;USA
Ritterband, 2009;USA
Ritterband, 2012;USA
Sato, 2019;Japan
Schuffelen, 2023;Germany
Siebmanns, 2021;Sweden
Store, 2022;Sweden
Strom, 2004;Sweden
Sunnheld, 2020;Sweden
VanDerZweerde, 2019;Netherlands
VanDerZweerde, 2020;Netherlands
VanStraten, 2014;Netherlands
Vincent, 2009;Canada
Watanabe, 2023;Japan
Wilkund, 2022;Sweden
Zhou, 2022b;China
Christensen, 2016;Australia
Nazem, 2023;USA
Engel, 2015;USA
Ivarsson, 2014;Sweden
Knaevelsrud, 2015;Iraq
Knaevelsrud, 2017;Germany
Krupnick, 2017;USA
Lehavot, 2021;USA
Lewis, 2017;United Kingdom
Spence, 2011;Australia
Allen, 2022;Australia
Ehlers, 2023;United Kingdom
Kuhn, 2017;USA
Littleton, 2016;USA
Millergraff, 2021;Egypt
Miner, 2016;USA
Stein, 2023;Germany
Stein, 2023;Jordan
Stein, 2023;Saudia Arabia
Stein, 2023;Iraq